item_no,Main,Sub,Final,Thickness,Specifications,Size,Length,Width,Height,Cost,R_S_B,Sq_inch_cost,Shipping Cost,Sq. Inch $ w/shipping,Supplier,lead_time
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,".500"" thick",FMVSS302,"82"" x 37""",82,37,,$28.76,(S),$0.0095,$0.0005,$0.0100,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"1.000"" thick",FMVSS302,"82"" x 37""",82,37,,$57.52,(S),$0.0190,$0.0009,$0.0199,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"1.500"" thick",FMVSS302,"82"" x 37""",82,37,,$86.27,(S),$0.0284,$0.0014,$0.0299,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"2.000"" thick",FMVSS302,"82"" x 37""",82,37,,$115.04,(S),$0.0379,$0.0019,$0.0398,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"2.500"" thick",FMVSS302,"82"" x 37""",82,37,,$143.80,(S),$0.0474,$0.0024,$0.0498,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"3.000"" thick",FMVSS302,"82"" x 37""",82,37,,$172.56,(S),$0.0569,$0.0028,$0.0597,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"3.500"" thick",FMVSS302,"82"" x 37""",82,37,,$201.32,(S),$0.0664,$0.0033,$0.0697,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"4.000"" thick",FMVSS302,"82"" x 37""",82,37,,$230.07,(S),$0.0758,$0.0038,$0.0796,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"4.500"" thick",FMVSS302,"82"" x 37""",82,37,,$258.84,(S),$0.0853,$0.0043,$0.0896,Bergad,2-3 weeks
6031V FR,Open Cell Foam,Polyurethane Viscoelastic,6031V FR (6.0#) Viscoelastic Pink,"5.000"" thick",FMVSS302,"82"" x 37""",82,37,,$287.60,(S),$0.0948,$0.0047,$0.0995,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,".500"" thick",FMVSS302,"82"" x 60""",82,60,,$19.30,(S),$0.0039,$0.0002,$0.0041,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"1.000"" thick",FMVSS302,"82"" x 60""",82,60,,$38.60,(S),$0.0078,$0.0004,$0.0082,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"1.500"" thick",FMVSS302,"82"" x 60""",82,60,,$57.91,(S),$0.0118,$0.0006,$0.0124,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"2.000"" thick",FMVSS302,"82"" x 60""",82,60,,$77.21,(S),$0.0157,$0.0008,$0.0165,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"2.500"" thick",FMVSS302,"82"" x 60""",82,60,,$96.52,(S),$0.0196,$0.0010,$0.0206,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"3.000"" thick",FMVSS302,"82"" x 60""",82,60,,$115.83,(S),$0.0235,$0.0012,$0.0247,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"3.500"" thick",FMVSS302,"82"" x 60""",82,60,,$135.13,(S),$0.0275,$0.0014,$0.0288,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"4.000"" thick",FMVSS302,"82"" x 60""",82,60,,$154.43,(S),$0.0314,$0.0016,$0.0330,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"4.500"" thick",FMVSS302,"82"" x 60""",82,60,,$173.73,(S),$0.0353,$0.0018,$0.0371,Bergad,2-3 weeks
Environmental Foam,Open Cell Foam,Environmental Foam,Environmental Foam (1.6#) Black,"5.000"" thick",FMVSS302,"82"" x 60""",82,60,,$193.04,(S),$0.0392,$0.0020,$0.0412,Bergad,2-3 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".125"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$3.38,(S),$0.0005,$0.0001,$0.0006,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".250"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$6.75,(S),$0.0010,$0.0001,$0.0011,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".394"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$10.64,(S),$0.0016,$0.0001,$0.0017,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".500"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$13.50,(S),$0.0021,$0.0001,$0.0022,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".591"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$15.96,(S),$0.0025,$0.0001,$0.0026,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,".787"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$21.25,(S),$0.0033,$0.0002,$0.0034,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"1.000"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$27.00,(S),$0.0042,$0.0002,$0.0044,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"1.181"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$31.89,(S),$0.0049,$0.0002,$0.0052,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"1.378"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$37.21,(S),$0.0057,$0.0003,$0.0060,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"1.575"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$42.53,(S),$0.0066,$0.0003,$0.0069,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"1.772"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$43.20,(S),$0.0074,$0.0004,$0.0078,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"2.000"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$54.00,(S),$0.0083,$0.0004,$0.0088,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"2.500"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$67.50,(S),$0.0104,$0.0005,$0.0109,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"3.000"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$81.00,(S),$0.0125,$0.0006,$0.0131,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"3.500"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$94.50,(S),$0.0146,$0.0007,$0.0153,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"4.000"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$108.00,(S),$0.0167,$0.0008,$0.0175,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"4.500"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$121.50,(S),$0.0188,$0.0009,$0.0197,FXI,2 weeks
2.0CUSTUL,Open Cell Foam,Polyurethane (Polyester),CUSTUL Polyurethane (2.0#) Polyester Charcoal,"5.000"" thick","DDS2360/2361*; Delphi M3559; ESAM4D57A; MSAY350A; MIL-PRF-26514G TYPE 1 Class 2 Grade ""C""","54"" x 120""",120,54,,$135.00,(S),$0.0208,$0.0010,$0.0219,FXI,2 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,".394"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$10.87,(S),$0.0031,$0.0002,$0.0033,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,".591"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$16.31,(S),$0.0047,$0.0002,$0.0050,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,".787"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$21.72,(S),$0.0063,$0.0003,$0.0066,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"1.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$27.60,(S),$0.0080,$0.0004,$0.0084,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"1.181"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$32.60,(S),$0.0094,$0.0005,$0.0099,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"1.378"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$38.03,(S),$0.0110,$0.0006,$0.0116,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"1.575"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$43.47,(S),$0.0126,$0.0006,$0.0132,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"1.772"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$48.91,(S),$0.0142,$0.0007,$0.0149,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"2.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$55.20,(S),$0.0160,$0.0008,$0.0168,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"2.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$69.00,(S),$0.0200,$0.0010,$0.0210,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"3.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$82.80,(S),$0.0240,$0.0012,$0.0252,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"3.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$96.60,(S),$0.0280,$0.0014,$0.0293,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"4.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$110.40,(S),$0.0319,$0.0016,$0.0335,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"4.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$124.20,(S),$0.0359,$0.0018,$0.0377,FXI,2-6 weeks
Z20S,Open Cell Foam,Polyurethane (Polyester-Reticulated),20 PPI Reticulated (1.9#) Polyester Charcoal,"5.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$138.00,(S),$0.0399,$0.0020,$0.0419,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,".394"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$11.35,(S),$0.0033,$0.0002,$0.0034,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,".591"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$17.02,(S),$0.0049,$0.0002,$0.0052,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,".787"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$22.66,(S),$0.0066,$0.0003,$0.0069,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"1.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$28.80,(S),$0.0083,$0.0004,$0.0088,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"1.181"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$34.01,(S),$0.0098,$0.0005,$0.0103,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"1.378"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$39.69,(S),$0.0115,$0.0006,$0.0121,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"1.575"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$45.36,(S),$0.0131,$0.0007,$0.0138,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"1.772"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$51.03,(S),$0.0148,$0.0007,$0.0155,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"2.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$57.60,(S),$0.0167,$0.0008,$0.0175,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"2.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$72.00,(S),$0.0208,$0.0010,$0.0219,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"3.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$86.40,(S),$0.0250,$0.0013,$0.0263,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"3.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$100.80,(S),$0.0292,$0.0015,$0.0306,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"4.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$115.20,(S),$0.0333,$0.0017,$0.0350,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"4.500"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$129.60,(S),$0.0375,$0.0019,$0.0394,FXI,2-6 weeks
Z65MC,Open Cell Foam,Polyurethane (Polyester-Reticulated),65 PPI Reticulated (1.9#) Polyester Charcoal,"5.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95,"48"" x 72""",72,48,,$144.00,(S),$0.0417,$0.0021,$0.0438,FXI,2-6 weeks
Z80D,Open Cell Foam,Polyurethane (Polyester-Reticulated),80 PPI Reticulated (1.9#) Polyester Charcoal,".394"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95; WSS-M99P32-C,"48"" x 72""",72,48,,$10.87,(S),$0.0031,$0.0002,$0.0033,FXI,2-6 weeks
Z80D,Open Cell Foam,Polyurethane (Polyester-Reticulated),80 PPI Reticulated (1.9#) Polyester Charcoal,".591"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95; WSS-M99P32-C,"48"" x 72""",72,48,,$16.31,(S),$0.0047,$0.0002,$0.0050,FXI,2-6 weeks
Z80D,Open Cell Foam,Polyurethane (Polyester-Reticulated),80 PPI Reticulated (1.9#) Polyester Charcoal,".787"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95; WSS-M99P32-C,"48"" x 72""",72,48,,$21.72,(S),$0.0063,$0.0003,$0.0066,FXI,2-6 weeks
Z80D,Open Cell Foam,Polyurethane (Polyester-Reticulated),80 PPI Reticulated (1.9#) Polyester Charcoal,"1.000"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95; WSS-M99P32-C,"48"" x 72""",72,48,,$27.60,(S),$0.0080,$0.0004,$0.0084,FXI,2-6 weeks
Z80D,Open Cell Foam,Polyurethane (Polyester-Reticulated),80 PPI Reticulated (1.9#) Polyester Charcoal,"1.181"" thick",ES-5F13-9601-AA; WSS-M2D498-A; WSS-M2D224-B; MS-AY332A; HES C206; WSS-M2D500-A1; JCI TQPM-PLUS-SP040713E; Visteon VAMPUPE Filter; Delphi M50115; Tennex TNX-P-016-95; WSS-M99P32-C,"48"" x 72""",72,48,,$32.59,(S),$0.0094,$0.0005,$0.0099,FXI,2-6 weeks
